Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
"The domain of f(x) = sqrt(x - 3) is:","[3, infinity)","(3, infinity)","(-infinity, 3]","R","Option A","For square root to be real, x - 3 >= 0 => x >= 3.","Easy"
"The domain of f(x) = 1 / (x^2 - 9) is:","R \ {-3, 3}","R","(-3, 3)","[-3, 3]","Option A","Denominator cannot be zero: x^2 - 9 != 0 => x != +-3.","Easy"
"The domain of f(x) = log(x - 5) is:","(5, infinity)","[5, infinity)","(-infinity, 5)","R \ {5}","Option A","Argument of log must be strictly positive: x - 5 > 0 => x > 5.","Easy"
"The domain of f(x) = sqrt(4 - x^2) is:","[-2, 2]","(-2, 2)","(-infinity, -2] U [2, infinity)","R","Option A","4 - x^2 >= 0 => (2 - x)(2 + x) >= 0 => -2 <= x <= 2.","Medium"
"The domain of f(x) = sin^(-1)(2x) is:","[-1/2, 1/2]","[-1, 1]","[-2, 2]","(-1/2, 1/2)","Option A","-1 <= 2x <= 1 => -1/2 <= x <= 1/2.","Medium"
"The domain of f(x) = cos^(-1)(x - 3) is:","[2, 4]","[3, 4]","[0, 3]","[-1, 1]","Option A","-1 <= x - 3 <= 1 => 2 <= x <= 4.","Medium"
"The domain of f(x) = 1 / sqrt(x^2 - 1) is:","(-infinity, -1) U (1, infinity)","[-1, 1]","(-infinity, -1] U [1, infinity)","R","Option A","x^2 - 1 > 0 => x < -1 or x > 1.","Medium"
"The domain of f(x) = log(x^2 - 4x + 3) is:","(-infinity, 1) U (3, infinity)","(1, 3)","[1, 3]","R \ {1, 3}","Option A","(x-1)(x-3) > 0 => x < 1 or x > 3.","Medium"
"The domain of f(x) = sqrt(log_10(x)) is:","[1, infinity)","(0, infinity)","(1, infinity)","[0, 1]","Option A","log_10(x) >= 0 => x >= 1.","Medium"
"The domain of f(x) = tan(x) is:","R \ {(2n+1)pi/2 : n in Z}","R \ {n pi : n in Z}","R","(-pi/2, pi/2)","Option A","tan(x) is undefined where cos(x) = 0, i.e., odd multiples of pi/2.","Easy"
"The domain of f(x) = 1 / (sin(x) - 1) is:","R \ {(4n+1)pi/2 : n in Z}","R \ {n pi : n in Z}","R","[-1, 1]","Option A","Denominator sin(x) - 1 != 0 => sin(x) != 1 => x != (4n+1)pi/2.","Hard"
"The domain of f(x) = sqrt(x^2 - 5x + 6) is:","(-infinity, 2] U [3, infinity)","[2, 3]","(2, 3)","R \ {2, 3}","Option A","(x-2)(x-3) >= 0 => x <= 2 or x >= 3.","Easy"
"The domain of f(x) = 1 / log_10(1 - x) is:","(-infinity, 1) \ {0}","(-infinity, 1)","(0, 1)","R \ {1}","Option A","1 - x > 0 => x < 1, and log(1-x) != 0 => 1-x != 1 => x != 0.","Hard"
"The domain of f(x) = sqrt(3 - x) + 1 / sqrt(x - 1) is:","(1, 3]","[1, 3]","(1, 3)","[1, 3)","Option A","3 - x >= 0 => x <= 3 and x - 1 > 0 => x > 1. Intersection: (1, 3].","Medium"
"The domain of f(x) = e^x is:","R","(0, infinity)","[0, infinity)","R \ {0}","Option A","Exponential function e^x is defined for all real numbers.","Easy"
"The domain of f(x) = 1 / (e^x - 1) is:","R \ {0}","R","(0, infinity)","(-infinity, 0)","Option A","e^x - 1 != 0 => e^x != 1 => x != 0.","Easy"
